date,execute_date,mode,gap,target,amount_planned,amount_actual
2020-01-23,2020-02-03,BUY,550.6914476348466,100666.66666666666,550.6914476348466,550.6914476348466
2020-02-28,2020-03-02,BUY,1291.4215197347075,101337.77777777777,1291.4215197347075,1291.4215197347075
2020-03-31,2020-04-01,BUY,2127.924059235229,102013.36296296294,2127.924059235229,2127.924059235229
2020-04-30,2020-05-06,BUY,2532.3446422152483,102693.4520493827,2532.3446422152483,2532.3446422152483
2020-05-29,2020-06-01,BUY,3115.105059830894,103378.07506304524,3115.105059830894,3115.105059830894
2020-06-30,2020-07-01,BUY,2588.151690314233,104067.26223013218,2588.151690314233,2588.151690314233
2020-07-31,2020-08-03,BUY,1135.620960817323,104761.04397833305,1135.620960817323,1135.620960817323
2020-08-31,2020-09-01,BUY,1692.2363069644925,105459.4509381886,1692.2363069644925,1692.2363069644925
2020-09-30,2020-10-09,BUY,3493.8996710948413,106162.5139444432,3493.8996710948413,3493.8996710948413
2020-10-30,2020-11-02,BUY,4081.5803707252344,106870.26403740613,4081.5803707252344,4081.5803707252344
2020-11-30,2020-12-01,BUY,4519.709956869643,107582.73246432217,4519.709956869643,4519.709956869643
2020-12-31,2021-01-04,BUY,3415.617115955538,108299.95068075098,3415.617115955538,3415.617115955538
2021-01-29,2021-02-01,BUY,3641.196433469333,109021.95035195598,3641.196433469333,3641.196433469333
2021-02-26,2021-03-01,BUY,5666.72682661975,109748.76335430235,5666.72682661975,5666.72682661975
2021-03-31,2021-04-01,BUY,8200.564925504295,110480.42177666436,8200.564925504295,8200.564925504295
2021-04-30,2021-05-06,BUY,6194.38505081863,111216.95792184211,6194.38505081863,6194.38505081863
2021-05-31,2021-06-01,BUY,3158.9811057468614,111958.40430798772,3158.9811057468614,3158.9811057468614
2021-06-30,2021-07-01,BUY,2465.0207932673366,112704.79367004096,2465.0207932673366,2465.0207932673366
2021-07-30,2021-08-02,BUY,6378.008540275958,113456.15896117456,6378.008540275958,6378.008540275958
2021-08-31,2021-09-01,BUY,6962.194427265975,114212.53335424906,6962.194427265975,6962.194427265975
2021-09-30,2021-10-08,BUY,6839.035012532186,114973.95024327737,6839.035012532186,6839.035012532186
2021-10-29,2021-11-01,BUY,8653.585785477058,115740.4432448992,8653.585785477058,8653.585785477058
2021-11-30,2021-12-01,BUY,7050.681894460446,116512.04619986519,7050.681894460446,7050.681894460446
2021-12-31,2022-01-04,BUY,8040.041496375023,117288.79317453096,8040.041496375023,4152.522554502379
2022-01-28,2022-02-07,BUY_NOOP,21637.012455532327,118070.71846236117,15000.0,0.0
2022-02-28,2022-03-01,BUY_NOOP,21098.1059453615,118857.85658544357,15000.0,0.0
2022-03-31,2022-04-01,BUY_NOOP,28915.946471814343,119650.24229601318,15000.0,0.0
2022-04-29,2022-05-05,BUY_NOOP,39119.38085175883,120447.91057798658,15000.0,0.0
2022-05-31,2022-06-01,BUY_NOOP,36323.97449111815,121250.89664850647,15000.0,0.0
2022-06-30,2022-07-01,BUY_NOOP,27351.92521351714,122059.23595949652,15000.0,0.0
2022-07-29,2022-08-01,BUY_NOOP,32319.604162592062,122872.96419922648,15000.0,0.0
2022-08-31,2022-09-01,BUY_NOOP,35423.481801471,123692.117293888,15000.0,0.0
2022-09-30,2022-10-10,BUY_NOOP,44431.10461062327,124516.73140918057,15000.0,0.0
2022-10-31,2022-11-01,BUY_NOOP,45585.409611291325,125346.84295190843,15000.0,0.0
2022-11-30,2022-12-01,BUY_NOOP,41397.58456709469,126182.48857158782,15000.0,0.0
2022-12-30,2023-01-03,BUY_NOOP,43731.65099130558,127023.70516206507,15000.0,0.0
2023-01-31,2023-02-01,BUY_NOOP,37560.43709073022,127870.5298631455,15000.0,0.0
2023-02-28,2023-03-01,BUY_NOOP,40014.38326420769,128723.00006223311,15000.0,0.0
2023-03-31,2023-04-03,BUY_NOOP,42191.99328541351,129581.15339598132,15000.0,0.0
2023-04-28,2023-05-04,BUY_NOOP,44398.81735989191,130445.02775195452,15000.0,0.0
2023-05-31,2023-06-01,BUY_NOOP,48969.18402711408,131314.66127030086,15000.0,0.0
2023-06-30,2023-07-03,BUY_NOOP,49783.75206028558,132190.09234543622,15000.0,0.0
2023-07-31,2023-08-01,BUY_NOOP,47577.77816186732,133071.35962773912,15000.0,0.0
2023-08-31,2023-09-01,BUY_NOOP,53354.5182938261,133958.50202525736,15000.0,0.0
2023-09-28,2023-10-09,BUY_NOOP,55448.88967753181,134851.55870542573,15000.0,0.0
2023-10-31,2023-11-01,BUY_NOOP,57817.597627981944,135750.56909679523,15000.0,0.0
2023-11-30,2023-12-01,BUY_NOOP,59134.97889987362,136655.57289077385,15000.0,0.0
2023-12-29,2024-01-02,BUY_NOOP,62342.13289543451,137566.610043379,15000.0,0.0
2024-01-31,2024-02-01,BUY_NOOP,73084.73846780784,138483.72077700152,15000.0,0.0
2024-02-29,2024-03-01,BUY_NOOP,66674.13758739503,139406.9455821815,15000.0,0.0
2024-03-29,2024-04-01,BUY_NOOP,68797.48693895324,140336.32521939607,15000.0,0.0
2024-04-30,2024-05-06,BUY_NOOP,68331.55140805514,141271.90072085868,15000.0,0.0
2024-05-31,2024-06-03,BUY_NOOP,70999.23298714882,142213.71339233106,15000.0,0.0
2024-06-28,2024-07-01,BUY_NOOP,76559.58282454881,143161.8048149466,15000.0,0.0
2024-07-31,2024-08-01,BUY_NOOP,76442.4509174485,144116.21684704622,15000.0,0.0
2024-08-30,2024-09-02,BUY_NOOP,80761.83687237595,145076.99162602655,15000.0,0.0
2024-09-30,2024-10-08,BUY_NOOP,61616.27925646523,146044.17157020004,15000.0,0.0
2024-10-31,2024-11-01,BUY_NOOP,62961.51836843266,147017.799380668,15000.0,0.0
2024-11-29,2024-12-02,BUY_NOOP,62690.13012257304,147997.91804320578,15000.0,0.0
