date,symbol,size,kind,price,amount
2020-01-02,511990,999.700189913045,init_buy,100.02999,100000.0
2020-02-03,511990,-5.51209463264233,va_cash_out,99.90602200000001,550.6914476348466
2020-02-03,510300,28.322334028768605,va_buy,3.2406194999999998,91.78190793914109
2020-02-03,510500,20.721942606546534,va_buy,4.4292134999999995,91.78190793914109
2020-02-03,159915,54.931760430647614,va_buy,1.6708349999999998,91.78190793914109
2020-02-03,512100,52.45056599152745,va_buy,1.7498745,91.78190793914109
2020-02-03,512880,102.49836862478381,va_buy,0.8954475,91.78190793914109
2020-02-03,512170,194.35601677792692,va_buy,0.47223599999999993,91.78190793914109
2020-03-02,511990,-12.920804743162066,va_cash_out,99.9490005,1291.4215197347075
2020-03-02,510300,62.23007095115578,va_buy,3.4587285,215.2369199557846
2020-03-02,510500,43.381600177081175,va_buy,4.961479499999999,215.2369199557846
2020-03-02,159915,106.18428197341834,va_buy,2.0270129999999997,215.2369199557846
2020-03-02,512100,106.92313880623536,va_buy,2.013006,215.2369199557846
2020-03-02,512880,214.91444083730823,va_buy,1.0015005,215.2369199557846
2020-03-02,512170,426.8439588852094,va_buy,0.5042519999999999,215.2369199557846
2020-04-01,511990,-21.288821094065145,va_cash_out,99.9549975,2127.924059235229
2020-04-01,510300,111.71659990129051,va_buy,3.1745864999999998,354.65400987253815
2020-04-01,510500,78.68518789939951,va_buy,4.5072525,354.65400987253815
2020-04-01,159915,197.15059593258886,va_buy,1.798899,354.65400987253815
2020-04-01,512100,191.5055491554807,va_buy,1.8519255,354.65400987253815
2020-04-01,512880,384.4650449965236,va_buy,0.922461,354.65400987253815
2020-04-01,512170,746.2668873406207,va_buy,0.4752374999999999,354.65400987253815
2020-05-06,511990,-25.341436180990186,va_cash_out,99.9290105,2532.3446422152483
2020-05-06,510300,125.02860613830845,va_buy,3.375687,422.05744036920805
2020-05-06,510500,87.9213249501152,va_buy,4.800399,422.05744036920805
2020-05-06,159915,213.0537965205317,va_buy,1.9809899999999998,422.05744036920805
2020-05-06,512100,217.67106146060513,va_buy,1.938969,422.05744036920805
2020-05-06,512880,453.11118916289234,va_buy,0.9314655,422.05744036920805
2020-05-06,512170,808.1350902502926,va_buy,0.522261,422.05744036920805
2020-06-01,511990,-31.168815732367836,va_cash_out,99.9430035,3115.105059830894
2020-06-01,510300,152.31133380726203,va_buy,3.4087034999999997,519.1841766384823
2020-06-01,510500,105.64428222340018,va_buy,4.9144559999999995,519.1841766384823
2020-06-01,159915,256.3857283998724,va_buy,2.025012,519.1841766384823
2020-06-01,512100,257.2755152609528,va_buy,2.0180084999999996,519.1841766384823
2020-06-01,512880,557.9835637433781,va_buy,0.930465,519.1841766384823
2020-06-01,512170,911.9942254505125,va_buy,0.5692845,519.1841766384823
2020-07-01,511990,-25.901198446806102,va_cash_out,99.924013,2588.151690314233
2020-07-01,510300,116.65125636650619,va_buy,3.697848,431.35861505237216
2020-07-01,510500,80.43713498705351,va_buy,5.36268,431.35861505237216
2020-07-01,159915,182.4557949769813,va_buy,2.3641815,431.35861505237216
2020-07-01,512100,195.44108954243285,va_buy,2.207103,431.35861505237216
2020-07-01,512880,426.8743005253533,va_buy,1.010505,431.35861505237216
2020-07-01,512170,636.8434911825804,va_buy,0.6773385,431.35861505237216
2020-08-03,511990,-11.362458676383772,va_cash_out,99.94500250000002,1135.620960817323
2020-08-03,510300,44.00455276809618,va_buy,4.3011495,189.2701601362205
2020-08-03,510500,30.986989737927185,va_buy,6.1080525,189.2701601362205
2020-08-03,159915,69.1936987381293,va_buy,2.7353669999999997,189.2701601362205
2020-08-03,512100,73.60917212064028,va_buy,2.5712849999999996,189.2701601362205
2020-08-03,512880,149.30984400161447,va_buy,1.2676334999999999,189.2701601362205
2020-08-03,512170,251.56326110378393,va_buy,0.7523759999999999,189.2701601362205
2020-09-01,511990,-16.93116710722901,va_cash_out,99.948001,1692.2363069644925
2020-09-01,510300,64.43392806318717,va_buy,4.3771875,282.03938449408207
2020-09-01,510500,45.89684716321131,va_buy,6.145071,282.03938449408207
2020-09-01,159915,107.26728891797711,va_buy,2.629314,282.03938449408207
2020-09-01,512100,106.86066538151776,va_buy,2.639319,282.03938449408207
2020-09-01,512880,224.08460673803168,va_buy,1.258629,282.03938449408207
2020-09-01,512170,377.87994004885235,va_buy,0.746373,282.03938449408207
2020-10-09,511990,-34.956824516667794,va_cash_out,99.9490005,3493.8996710948413
2020-10-09,510300,137.59470426704857,va_buy,4.232115,582.3166118491403
2020-10-09,510500,100.34924121545095,va_buy,5.802899999999999,582.3166118491403
2020-10-09,159915,229.2341863133578,va_buy,2.5402695,582.3166118491403
2020-10-09,512100,237.07763708741976,va_buy,2.4562275,582.3166118491403
2020-10-09,512880,473.96221420978463,va_buy,1.2286139999999999,582.3166118491403
2020-10-09,512170,818.6014051330739,va_buy,0.7113554999999999,582.3166118491403
2020-11-02,511990,-40.83622181816143,va_cash_out,99.95,4081.5803707252344
2020-11-02,510300,159.30727118185808,va_buy,4.270134,680.2633951208724
2020-11-02,510500,120.36173365271203,va_buy,5.6518245,680.2633951208724
2020-11-02,159915,264.5616472389768,va_buy,2.5712849999999996,680.2633951208724
2020-11-02,512100,278.7713954096639,va_buy,2.4402195,680.2633951208724
2020-11-02,512880,591.2377681775395,va_buy,1.150575,680.2633951208724
2020-11-02,512170,910.2053994701075,va_buy,0.7473734999999999,680.2633951208724
2020-12-01,511990,-45.21970942340813,va_cash_out,99.95,4519.709956869643
2020-12-01,510300,165.9851275446067,va_buy,4.5382679999999995,753.2849928116071
2020-12-01,510500,128.85650154755024,va_buy,5.845921499999999,753.2849928116071
2020-12-01,159915,297.0053406478643,va_buy,2.5362675,753.2849928116071
2020-12-01,512100,304.94473006979996,va_buy,2.4702344999999997,753.2849928116071
2020-12-01,512880,618.1515094764663,va_buy,1.2186089999999998,753.2849928116071
2020-12-01,512170,1112.1248722929631,va_buy,0.6773385,753.2849928116071
2021-01-04,511990,-34.17804271442962,va_cash_out,99.936007,3415.617115955538
2021-01-04,510300,118.81082205314613,va_buy,4.791394499999999,569.2695193259229
2021-01-04,510500,96.01502308682362,va_buy,5.9289629999999995,569.2695193259229
2021-01-04,159915,198.66795628928656,va_buy,2.8654319999999998,569.2695193259229
2021-01-04,512100,228.23306330225302,va_buy,2.4942464999999996,569.2695193259229
2021-01-04,512880,460.7166209008232,va_buy,1.2356175,569.2695193259229
2021-01-04,512170,729.46798309297,va_buy,0.78039,569.2695193259229
2021-02-01,511990,-36.432729715485614,va_cash_out,99.9430035,3641.196433469333
2021-02-01,510300,123.06001031638552,va_buy,4.9314645,606.8660722448889
2021-02-01,510500,102.964316898568,va_buy,5.8939455,606.8660722448889
2021-02-01,159915,200.58293348196565,va_buy,3.025512,606.8660722448889
2021-02-01,512100,256.47475300188756,va_buy,2.3661825000000003,606.8660722448889
2021-02-01,512880,521.9989594229468,va_buy,1.1625809999999999,606.8660722448889
2021-02-01,512170,706.9496396846903,va_buy,0.8584289999999999,606.8660722448889
2021-03-01,511990,-56.694482184590925,va_cash_out,99.951999,5666.72682661975
2021-03-01,510300,190.24233773949217,va_buy,4.964480999999999,944.4544711032917
2021-03-01,510500,158.892859764915,va_buy,5.9439705,944.4544711032917
2021-03-01,159915,331.2219227590737,va_buy,2.851425,944.4544711032917
2021-03-01,512100,397.29902351151514,va_buy,2.377188,944.4544711032917
2021-03-01,512880,858.9467514680255,va_buy,1.0995495,944.4544711032917
2021-03-01,512170,1168.2951483457425,va_buy,0.808404,944.4544711032917
2021-04-01,511990,-82.04667259133862,va_cash_out,99.95,8200.564925504295
2021-04-01,510300,294.60379168133915,va_buy,4.639318499999999,1366.7608209173825
2021-04-01,510500,234.84232113226224,va_buy,5.8199084999999995,1366.7608209173825
2021-04-01,159915,512.5995429742475,va_buy,2.6663324999999998,1366.7608209173825
2021-04-01,512100,577.6227408145324,va_buy,2.3661825000000003,1366.7608209173825
2021-04-01,512880,1314.8005601793739,va_buy,1.0395195,1366.7608209173825
2021-04-01,512170,1802.2134327524664,va_buy,0.7583789999999999,1366.7608209173825
2021-05-06,511990,-61.97421818496802,va_cash_out,99.95099950000001,6194.38505081863
2021-05-06,510300,220.01739183068838,va_buy,4.692345,1032.3975084697715
2021-05-06,510500,170.53074990678047,va_buy,6.0540255,1032.3975084697715
2021-05-06,159915,348.2556758980522,va_buy,2.9644814999999998,1032.3975084697715
2021-05-06,512100,430.8482537310766,va_buy,2.3961975,1032.3975084697715
2021-05-06,512880,992.1938150826237,va_buy,1.04052,1032.3975084697715
2021-05-06,512170,1216.841471327746,va_buy,0.848424,1032.3975084697715
2021-06-01,511990,-31.60972312840751,va_cash_out,99.9370065,3158.9811057468614
2021-06-01,510300,107.08867197614263,va_buy,4.916456999999999,526.4968509578102
2021-06-01,510500,83.74184183494032,va_buy,6.287141999999999,526.4968509578102
2021-06-01,159915,165.4823063178506,va_buy,3.18159,526.4968509578102
2021-06-01,512100,202.78756612360883,va_buy,2.5962975,526.4968509578102
2021-06-01,512880,462.4198014857336,va_buy,1.138569,526.4968509578102
2021-06-01,512170,586.0063854017426,va_buy,0.8984489999999999,526.4968509578102
2021-07-01,511990,-24.664019043417106,va_cash_out,99.94400300000001,2465.0207932673366
2021-07-01,510300,84.59651486121163,va_buy,4.856427,410.8367988778894
2021-07-01,510500,64.05108144381863,va_buy,6.4142055,410.8367988778894
2021-07-01,159915,121.45267173508469,va_buy,3.3826904999999994,410.8367988778894
2021-07-01,512100,151.07854420026536,va_buy,2.719359,410.8367988778894
2021-07-01,512880,365.0057627878411,va_buy,1.1255625,410.8367988778894
2021-07-01,512170,435.9145256224217,va_buy,0.942471,410.8367988778894
2021-08-02,511990,-63.81135328492595,va_cash_out,99.95099950000001,6378.008540275958
2021-08-02,510300,239.4568826425927,va_buy,4.4392185,1063.0014233793263
2021-08-02,510500,166.16674824604064,va_buy,6.397196999999999,1063.0014233793263
2021-08-02,159915,319.25185946069223,va_buy,3.3296639999999997,1063.0014233793263
2021-08-02,512100,379.45363867327995,va_buy,2.8013999999999997,1063.0014233793263
2021-08-02,512880,1036.5562812538378,va_buy,1.0255124999999998,1063.0014233793263
2021-08-02,512170,1306.8514001047772,va_buy,0.8134064999999999,1063.0014233793263
2021-09-01,511990,-69.658862424862,va_cash_out,99.9470015,6962.194427265975
2021-09-01,510300,259.9833770354595,va_buy,4.4632305,1160.3657378776625
2021-09-01,510500,168.69612290257237,va_buy,6.8784374999999995,1160.3657378776625
2021-09-01,159915,372.92149355472185,va_buy,3.1115549999999996,1160.3657378776625
2021-09-01,512100,386.59528165172827,va_buy,3.0015,1160.3657378776625
2021-09-01,512880,1030.9207510712754,va_buy,1.1255625,1160.3657378776625
2021-09-01,512170,1661.5843050933884,va_buy,0.6983489999999999,1160.3657378776625
2021-10-08,511990,-68.42250973123318,va_cash_out,99.9529985,6839.035012532186
2021-10-08,510300,249.89461153506693,va_buy,4.5612794999999995,1139.8391687553642
2021-10-08,510500,167.8852835231904,va_buy,6.789393,1139.8391687553642
2021-10-08,159915,359.5044285226791,va_buy,3.1705845,1139.8391687553642
2021-10-08,512100,394.89411923340384,va_buy,2.8864425,1139.8391687553642
2021-10-08,512880,977.9137630801459,va_buy,1.1655825,1139.8391687553642
2021-10-08,512170,1471.9244625172742,va_buy,0.7743869999999999,1139.8391687553642
2021-11-01,511990,-86.58780620910574,va_cash_out,99.940005,8653.585785477058
2021-11-01,510300,317.66053896355254,va_buy,4.540269,1442.2642975795097
2021-11-01,510500,217.49298820407384,va_buy,6.631314,1442.2642975795097
2021-11-01,159915,444.2352930097385,va_buy,3.2466225,1442.2642975795097
2021-11-01,512100,505.9822835439107,va_buy,2.8504245,1442.2642975795097
2021-11-01,512880,1304.5642767571055,va_buy,1.1055525,1442.2642975795097
2021-11-01,512170,1996.5976811864289,va_buy,0.7223609999999999,1442.2642975795097
2021-12-01,511990,-70.55549553375067,va_cash_out,99.9310095,7050.681894460446
2021-12-01,510300,261.4707003303204,va_buy,4.4942459999999995,1175.113649076741
2021-12-01,510500,171.11398395742995,va_buy,6.867431999999999,1175.113649076741
2021-12-01,159915,347.8017133206394,va_buy,3.3786884999999995,1175.113649076741
2021-12-01,512100,376.45076470634586,va_buy,3.12156,1175.113649076741
2021-12-01,512880,1061.9587575802884,va_buy,1.1065530000000001,1175.113649076741
2021-12-01,512170,1651.9358451248934,va_buy,0.7113554999999999,1175.113649076741
2022-01-04,511990,-41.528963151707444,va_cash_out,99.9410045,4152.522554502379
2022-01-04,510300,150.18263608470693,va_buy,4.608302999999999,692.0870924170631
2022-01-04,510500,98.91909363737452,va_buy,6.9964965,692.0870924170631
2022-01-04,159915,213.76428362365886,va_buy,3.237618,692.0870924170631
2022-01-04,512100,222.13912068277457,va_buy,3.115557,692.0870924170631
2022-01-04,512880,588.2153246651021,va_buy,1.176588,692.0870924170631
2022-01-04,512170,1029.3768181639286,va_buy,0.672336,692.0870924170631
